Date,Adj Close,Close,High,Low,Open,Volume
2023-11-15,84.08755493,87.06999969,87.83000183,85.88999939,86.95999908,28991000
2023-11-16,76.40021515,79.11000061,80.76999664,78.23100281,79.51999664,63008500
2023-11-17,74.94194031,77.59999847,78.46600342,76.75,77.01999664,35497300
2023-11-20,75.77248383,78.45999908,78.74500275,76.55999756,76.91000366,31506800
2023-11-21,76.23603821,78.94000244,79.27500153,77.59999847,77.84999847,20525500
2023-11-22,76.25534821,78.95999908,79.70999908,78.12999725,79.27999878,18958600
2023-11-24,75.80144501,78.48999786,79.06999969,78.20999908,78.26999664,12251700
2023-11-27,74.87432861,77.52999878,79.25,77.08999634,77.55500031,18248200
2023-11-28,74.11139679,76.73999786,76.83999634,75.26000214,76.55999756,23682200
2023-11-29,72.11229706,74.66999817,75.45600128,74.42500305,75,30969100
2023-11-30,72.31510925,74.87999725,74.94000244,74.01000214,74.69999695,17884200
2023-12-01,71.45558929,73.98999786,74.13999939,72.12000275,73.12000275,27946500
2023-12-04,70.5284729,73.02999878,73.58000183,72.48000336,72.66999817,21074900
2023-12-05,69.90073395,72.37999725,72.69999695,71.91999817,72.04000092,19129000
2023-12-06,69.04122162,71.48999786,72.94999695,71.48999786,72.36000061,30394400
2023-12-07,69.85245514,72.33000183,72.37000275,71.44000244,71.54499817,18966700
2023-12-08,69.66896057,72.13999939,72.44000244,71.83000183,72.01999664,16868700
2023-12-11,68.92533875,71.37000275,71.61000061,70.08000183,70.48999786,19719300
2023-12-12,68.94464874,71.38999939,71.95500183,70.93000031,71.37999725,14725900
2023-12-13,69.01225281,71.45999908,71.48000336,70.12000275,70.91000366,21721600
2023-12-14,70.02629089,72.51000214,73.23999786,71.41999817,71.47000122,25199300
2023-12-15,71.95778656,74.51000214,75.54499817,73.31999969,74,31266700
2023-12-18,71.31072998,73.83999634,74.23000336,73.20999908,74.05000305,17233500
2023-12-19,72.80764008,75.38999939,76.01000214,74.22000122,74.40000153,20939300
2023-12-20,71.78975677,73.34999847,75.29499817,73.33000183,74.58000183,27540200
2023-12-21,74.63786316,76.26000214,76.29000092,74.34999847,74.86000061,20812100
2023-12-22,73.67870331,75.27999878,75.68000031,74.44000244,74.5,19962800
2023-12-26,74.2365799,75.84999847,76.96900177,75.73000336,76.16000366,13121300
2023-12-27,74.49105072,76.11000061,76.44999695,75.41000366,76.27999878,14904500
2023-12-28,75.59701538,77.23999786,77.79000092,76.98000336,77.23000336,18937900
2023-12-29,75.86127472,77.51000214,77.63500214,76.81999969,77.05999756,14035500
2024-01-02,73.16976929,74.76000214,76.07499695,74.51000214,76.05000305,21739600
2024-01-03,74.96083832,76.58999634,76.69000244,74.06999969,74.33000183,24444600
2024-01-04,73.07189941,74.66000366,75.72499847,74.44000244,75.55999756,18454900
2024-01-05,71.4569931,73.01000214,74,72.86000061,74,21679000
2024-01-08,71.32975769,72.87999725,73.05999756,70.91999817,71.25,22000000
2024-01-09,70.48804474,72.01999664,72.12000275,70.95999908,71.25,21451800
2024-01-10,69.89102936,71.41000366,71.77500153,71.04499817,71.37999725,19540000
